no,Nama Perusahaan,Alamat,Telepon,Komoditi
15012,"KILANG PADI ""KAMAL""","Jl. Yos Sudarso Lk I, Tebing Tinggi, Sumatera Utara",,Penggilingan Padi
15013,KILANG PADI ,"Dusun  Ia, Deli Serdang, Sumatera Utara",,Beras
15014,KILANG PADI BARU CV,"Kp Pala Dusun 7, Serdang Bedagai, Sumatera Utara",,Beras
15015,KILANG PADI GKS,"Dusun 2, Serdang Bedagai, Sumatera Utara",,Beras
15016,KILANG PADI HARAPAN TANI,"Dusun I Desa Kentang, Serdang Bedagai, Sumatera Utara",812636,Beras
15017,KILANG PADI JASA SAUDARA,"Jl. Tiro - Pulo Tambo, Mancang, Pidie, Nanggroe Aceh Darussalam",,Beras
15018,KILANG PADI JAYA LESTARI,"Huta 2 Bahal Batu, Simalungun, Sumatera Utara",,Beras
15019,KILANG PADI KARYA BARU,"Dusun 7 Kampung Pala Desa Sei Rampah, Serdang Bedagai, Sumatera Utara",062 - 41046,Beras
15020,KILANG PADI KAWAN JAYA,"Dusun V Desa Penggalangan, Serdang Bedagai, Sumatera Utara",,Beras
15021,KILANG PADI KISARAN,"Jl. Gatot Subroto No. 152, Asahan, Sumatera Utara",062 - 41397,Beras
15022,KILANG PADI PETANI,"Jl. Gatot Subroto Sentang Km. 3, Asahan, Sumatera Utara",062 - 341116,Beras
15023,KILANG PADI RIMBUN JAYA,"Dusun 9 Desa Firdaus, Serdang Bedagai, Sumatera Utara",,Beras
15024,KILANG PADI SEHATI,"Jl. Gatot Subroto No.238, Asahan, Sumatera Utara",,Beras
15025,KILANG PADI SINAR JAYA,"Jl. Antar Lintas Sumatera Damuli Pekan, Labuhan Batu Utara, Sumatera Utara",,Beras
15026,KILANG PADI SUKA DAMAI,"Dusun 15 Desa Firdaus, Serdang Bedagai, Sumatera Utara",,Beras
15027,KILANG PADI SUMBER TANI,"Jl. Batu Melenggang Dusun Ii, Langkat, Sumatera Utara",061 - 896113,Beras
15028,KILANG PADI SUMBER TANI,"Jl. Protokol Dusun 1, Serdang Bedagai, Sumatera Utara",,Beras
15029,"KILANG PAPAN ""HASIL""","Jl. Musyawarah Lk I, Tebing Tinggi, Sumatera Utara",,Papan Dan Kayu
15030,KILANG SAGU ADNAN KUSNAN,"Sei Sikat Simp Kontan, Kepulauan Meranti, Riau",,Tepung Sagu
15031,KILANG SAGU ASMAN,"Anak Ayam Desa Sei Tohor, Kepulauan Meranti, Riau",,Tepung Sagu
15032,KILANG SAGU HARAPAN,"Jl. Tasik Nambus, Kepulauan Meranti, Riau",0763 - 33991,Tepung Sagu Kering
15033,KILANG SAGU KURNIAWAN,"Teluk Brahim Desa Tj Sari, Kepulauan Meranti, Riau",,Tepung Sagu
15034,KILANG SAGU LAI HING SALIM,"Tanjung Tua Desa Mekar Sari, Riau, Riau",,Tepung Sagu
15035,KILANG SAGU LIE A PIE,"Desa Tenan, Kepulauan Meranti, Riau",,Tepung Sagu
15036,KILANG SAGU MARSUN/EDY SUSANTO,"Sei Ulu Mahmud Desa Lukun, Kepulauan Meranti, Riau",,Tepung Sagu
15037,KILANG SAGU RASUAN,"Baran Melintang, Riau, Riau",,Tepung Sagu
15038,KILANG SAGU TINUS,"Kengkam Desa Mekar Sari, Kepulauan Meranti, Riau",,Tepung Sagu
15039,KILANG SAGU WANANDI SALIM,"Barang Subah Sei Tohor, Kepulauan Meranti, Riau",,Tepung Sagu
15040,KILANG SAGU WIJADI,"Desa Kapau Baru, Kepulauan Meranti, Riau",,Tepung Sagu
15041,KILANG SUGIANTO,"Pelantai, Riau, Riau",,Tepung Sagu
15042,KILANG TAPIOKA GOLIANG,"Dusun Iv Sukaramai, Serdang Bedagai, Sumatera Utara",8126200669,Tepung Tapioka
15043,KILANG TENUN SENSUS PANJAITAN,"Jl. Hutanagodang, Dusun Ii, Sumatera Utara, Sumatera Utara",,Ulos Batak
15044,"KILANG TEPUNG KELAPA ""SUMATERA BARU""","Jl. Besar Teluk Nibung Km. 3,5, Tanjung Balai, Sumatera Utara",062 - 92908,Tepung Kelapa
15045,KILANG TEPUNG TAPIOKA ,"Dusun 4 Suka Ramai Desa Simpang Empat, Serdang Bedagai, Sumatera Utara",,Tepung Tapioka
15046,"KILAT AGROTAMA UNGGUL, PT","Jl. Sultan Abdullah No. 63, Makassar, Sulawesi Selatan",451289,Minyak Goreng
15047,"KIM ANUGRAH MAKMUR, CV","Jl. Kepu Barat, Jakarta Pusat, DKI Jakarta",,Alas Kaki/sepatu
15048,KIM PT,"Pangkalan Empat, Bekasi, Jawa Barat",,Karton Box
15049,KIM PUTRA,"Jl. Raya Singosari 171, Malang, Jawa Timur",0341 - 458688,Bak Truk Dari Besi Dan Kayu
15050,"KIMBERLY LEVER INDONESIA, PT","Jl. Jababeka Ix B Blok Q-2 Kawasan Ind Jababeka I, Bekasi, Jawa Barat",021 - 898359,Pembalut Wanita
15051,KIMIA FARMA PABRIK KONDOM BANJARAN,"Jl. Raya Banjaran Km. 16, Bandung, Jawa Barat",,Kondom
15052,"KIMIA FARMA PLANT SEMARANG, PT","Jl. Simongan No. 169, Semarang, Jawa Tengah",024 - 760406,Kosmetika Bedak Tabur
15053,"KIMIA FARMA UNIT PRODUKSI JAKARTA, PT","Jl. Rawagelam V No. 1 Kip, Jakarta Timur, DKI Jakarta",021 - 460935,Farmasi
15054,"KIMIA FARMA, PT","Jl. Sisingamangaraja Km. 9 No.59, Medan, Sumatera Utara",061 - 186702,Obat-obatan
15055,"KIMIA FARMA, PT","Jl. Padjajaran No. 29-31, Bandung, Jawa Barat",022 - 420404,Farmasi
15056,"KIMIA FARMA, PT","Desa Jombok, Jombang, Jawa Timur",0321 - 397300,Farmasi
15057,"KIMIA PUTRA INDONESIA, PT","Jl. Raya Kudus Jepara Rt. 02 Rw. 01, Jepara, Jawa Tengah",,Obat Nyamuk Bakar
15058,"KIMIA TIRTA UTAMA, PT","Jl. Poros Desa Pangkalan Pisang, S I A K, Riau",0812 - 756656,Cpo Dan Karnel
15059,KIMINDO JAYA SEJAHTERA,"Jl. Cijagra Rt. 002 Rw. 009, Bandung, Jawa Barat",,Pakaian
15060,"KIMKO SEJAHTERA, PT","Jl. Imam Bonjol, Banten, Banten",,Industri Makanan Permen
15061,"KIMLING, CV","Jl. Waspada, Surabaya, Jawa Timur",031 - 352189,Mie
15062,KIMLU SUMBER SUKSES,"Jababeka Tahap 2 Blok Pp No. 2d, Bekasi, Jawa Barat",,Pencetakan Kertas
15063,"KIMPO SEJAHTERA, PT","Jl. N Samuel Languyu, Tangerang, Banten",021 - 5512688,Kembang Gula
15064,"KIMU BOX, PT","Kampung Rawa Banteng, Bekasi, Jawa Barat",,Karton
15065,"KIMU BOX, PT","Kampung Rawa Banteng, Bekasi, Jawa Barat",,"Kursi Kayu,rotan"
15066,KIMU ENAM KEMASINDO PT,"Kp Peundeuy, Bandung, Jawa Barat",,Dus
15067,"KIN-NIKKO 2001, CV","Jl. Raya Bukittinggi-batusangkar Km. 16 Tabek Patah, Tanah Datar, Sumatera Barat",0752 - 561199,Kopi Bubuk
15068,"KINABALU, CV","Jl. Tirtosari No. 120 A, Medan, Sumatera Utara",061 - 734254,Pompa
-,-,-,-,-
15070,KINARYA TUNAS ARTHA,"Ceplukan Wonorejo, Jawa Tengah, Jawa Tengah",,Kantong Plastik
15071,KINDO MAKMUR,"Jl. Narogong Pangkalan Ii, Bekasi, Jawa Barat",,Penyamakan Kulit
15072,KINEMA SYTRANS MULTIMEDIA,"Jl. Hang Lekiu Km. 2, Batam, Kepulauan Riau",,Multimedia/cinema
15073,"KINENTA INDONESIA, PT","Kampung Cinaga Rt. 06/02, Purwakarta, Jawa Barat",0264 - 204444,Wiring Harness
15074,"KINETIC GLOBAL, PT","Desa Tlajung Udik Km. 8, Bogor, Jawa Barat",,Kemeja
15075,"KING ASRI, PT (TENUN NAGA MAS)","Jl. Jenderal Sudirman No. 649b, Batang, Jawa Tengah",0272 - 391021,Handuk Kain
15076,KING BATIK,"Simbang Wetan Gg.i No.90, Pekalongan, Jawa Tengah",,Kain Batik
15077,KING BUTTON INDUSTRIES,"Jl. Industri Raya Iii Blok Ae No. 05 , Banten, Banten",021 -,Kancing Baju
15078,"KING BUTTON INDUSTRIES, P","Jl. K Teluk Gong Blok Q 14, Jakarta Utara, DKI Jakarta",,Kancing
15079,"KING DRAGON NET, PT","Desa Kecelingn  Kemiri Sewu, Pasuruan, Jawa Timur",0343 - 639957,Jala Ikan Dan Benang
15080,"KING FOOD, PT","Pura Melati Indah Jl. Mawar Raya No. 8, Bekasi, Jawa Barat",847028,Bakso Ikan
15081,KING GARMENT,"Sondakan, Surakarta, Jawa Tengah",271 - 712489,Pakaian Jadi
15082,KING GLOBAL METALINDO,"Jl. Raya Pantura No 630 Cikalongsari, Purwakarta, Jawa Barat",,Peleburan Baja
15083,"KING HALIM JEWELRY, PT","Jl. Ngoro Industri Persada Kavling P- 1, Mojokerto, Jawa Timur",0321 - 619911,Perhiasan
15084,KING HIKARIKO INDUSTRIAL,"Jl. Toyogiri No.536b, Bekasi, Jawa Barat",,Gelas Minum
15085,"KING HIKORIKO PUTRA, PT","Jl. Toyogiri Selatan, Bekasi, Jawa Barat",,Alat Rumahtangga
15086,"KING JIM INDONESIA, PT","Jl. Rembang Industri Ii/1, Pasuruan, Jawa Timur",0343 -,Mab Dari Plastik
15087,"KING MANUFACTURE, PT","Jl. Amarta Raya No. 17, Sukoharjo, Jawa Tengah",,Cetakan Botol
15088,KING OSKAR,"Kp. Sindang Mekar, Bandung, Jawa Barat",,Jaket Oskar
15089,KING PLASTIK,"Blok E No.8 Kawasan Mm2100, Bekasi, Jawa Barat",,Botol Plastik
15090,"KING PLASTIK, PT","Blok E No. 8 Kawasan Industri Mm 2100, Bekasi, Jawa Barat",,Botol Plastik
15091,KING RUBBER,"Jl. Mekar Raya 24, Bandung, Jawa Barat",022 - 780433,Rubber Compound
15092,"KING SINDO INTERLINING, PT","Jl. Raya Kaligawe Km. 5, Semarang, Jawa Tengah",,Pakaian Jadi
15093,"KING SINGER, PT","Jl. Terusan H.alpi No.109, Bandung, Jawa Barat",022 - 601205,Pakaian Bayi
15094,"KING SUN INDO UTAMA , PT","Jl. Modern Cikande No.20, Serang, Banten",400644,Fiber Glass
15095,"KING TRADING, PT","Jl. Raya Kerobokan Ix Br Semer, Badung, Bali",,Pakaian Jadi
15096,KING'STEX,"Jl. Sido Luhur Waringin Rejo, Sukoharjo, Jawa Tengah",0271 - 632206,Jasa Printing Kain
15097,"KINGASRI PRATAMA, PT","Jl. Singoyudan Raya I/1, Semarang, Jawa Tengah",024 - 658105,Karet Compound
15098,"KINGDA MARINE TECHNICAL INDONESIA, PT","Jl. Tugu Wijaya Iv No. 23, Jawa Tengah, Jawa Tengah",024 -,Industri Barang Dari Tali
15099,"KINGDOM INDAH, PT","Jl. Demak Timur 34 A, Surabaya, Jawa Timur",031 -,Jari Jari Sepeda
15100,"KINGDOM INDONESIA, PT","Jl. N Raya Klampok Rt 01/05, Gresik, Jawa Timur",,Baja Ringan
15101,KINGDUAN INDUSTRIAL INDONESIA PT,"Kawasan Industri Dwi Papuri Abadi, Sumedang, Jawa Barat",,Part Motor Dan Mobil
15102,"KINGFURN INTERNATIONAL, PT/ GLOSTER FU","Jl. Mayjend Sungkono 3, Gresik, Jawa Timur",031 - 398388,Meubel
15103,"KINGKONG, PT","Jl. Kubu Anyar No.69x, Kuta, Bali, Badung, Bali",0361 - 757671,Tshirt
15104,"KINGQWEEN, CV","Bromo Gg At Taqwa, Jl, Jawa Timur, Jawa Timur",0852 -,Pakaian Jadi
15105,"KINGS PAPER, PT","Jl. Raya Modern Industri I/28 Km. Iii, Serang, Banten",0254 - 402516,Paper Tube
15106,"KINGSON METAL INDUSRTI INDONESIA, PT","N I P Kav A1-5 Ngoro, Mojokerto, Jawa Timur",0321 - 681912,Alumunium Ingot
15107,"KINI INDONESIA, PT","Jl. Solo Yogya Km. 15 Gunungsari, Sukoharjo, Jawa Tengah",0271 - 784630,"Ments Suits, Jaket, Men's Jaket"
15108,"KINO INDONESIA, PT","Kosong, Sukabumi, Jawa Barat",,Minuman Energi
15109,"KINO INDONESIA,TBK , PT","Jl. Raya Cidahu Km. 2,5 Babakan Jaya, Sukabumi, Jawa Barat",,Minuman Ringan Kemasan Botol
15110,"KINOCARE  ERA KOSMETINDO, PT","Jl. Raya Babakan Rt. 03/ 3, Sukabumi, Jawa Barat",0266 - 321888,Kosmetik
15111,KINOCARE ERA KOSMETINDO/ KINOAID INDO,"Jl. Pancatama Vi Kav 87 B, Serang, Banten",0254 - 404488,Minuman Cup
15112,KINTAKUN ABADI,"Kp Cilampeni Rt.04/ Ii No. 26, Bandung, Jawa Barat",,Suku Cadang Sepeda
15113,KINTAKUN ABADI SAKTI,"Ds Cilampeni Blok Murci, Bandung, Jawa Barat",,Sepeda Dan Suku Cadang
15114,"KINTAMOLEK MASA, PT","Jl. Pembangunan Ii/2 Rt. 001/01, Tangerang, Banten",021 - 552448,Sikat Gigi
15115,"KINUGAWA INDONESIA, PT","Kota Bukit Indah City Blok Aii No. 9b, Purwakarta, Jawa Barat",,Door Trim
15116,"KINZON INTENASIONAL, PT","Jl. Bumi Maas, Tangerang, Banten",,Pakaian Jadi
15117,KIPAS PUTIH AKSARA PT,"Jl. Komplek Hankam Cidodol, Jakarta Selatan, DKI Jakarta",,Percetakan
15118,"KIPAS SRIKANDI, CV","Jl. Raya Sesetan No. 53b, Denpasar, Bali",,Kipas
15119,KIPKJ CEPU,"Jl. Wonosari Komplek Tpk, Bojonegoro, Jawa Timur",0296 - 421323,Meubel
15120,"KIRANA MAS HOMES, CV","Glondong Rt. 04 Rw. 02, Sleman, D.I. Yogyakarta",,Meja Kursi (furniture) Dan Anyaman Keranj
15121,"KIRANA MITRA ABADI, PT","Kawasan Industri Milenium Kp Palahlar, Tangerang, Banten",,Parafin Wax Oil
15122,"KIRANA MUSI PERSADA, PT","Jl. Sekayu-babat Toman Km. 131, Musi Banyuasin, Sumatera Selatan",0714 - 322690,Sir 10 Dan Sir 20
15123,"KIRANA PACIFIC LUAS, PT","Jl. Rawa Melati Blok B  No.1, Jakarta Barat, DKI Jakarta",021 - 555208,Barang Barang Plastik
15124,"KIRANA PERMATA, PT","Jl. Lintas Prabumulih Baturaja Km. 44, Desa Aur, Muara Enim, Sumatera Selatan",0828 - 731454,Standar Indonesian Rubber
15125,"KIRANA SAPTA, PT","Jl. Raya Aek Godang, Tapanuli Selatan, Sumatera Utara",0634 - 23153,Crumb Rubber
15126,"KIRANA SEKERNAN, PT","Jl. Lintas Timur Km. 54, Muaro Jambi, Jambi",,Cpo (crude Palm Oil)
15127,"KIRANA WINDU, PT","Jl. Lintas Sumatera Km. 98, Musi Rawas Utara, Sumatera Selatan",0733 - 410020,Sir 20
15128,"KIRIU BUDIPRIMA INDONESIA, PT","Kampung Jarakosta Rt. 07/04, Bekasi, Jawa Barat",021 - 890076,Komponen Otomotive
15129,"KIRMIZHI FOAM, PT","Jl. Raya Mojokumpul Kemlagi, Mojokerto, Jawa Timur",,Kasur Busa
15130,KITA FURNITURE,"Desa Banjaran Rt. 04 Rw. 01, Jepara, Jawa Tengah",0291 - 771870,Mebel Kayu Mahoni
15131,"KITA MAKMUR, PT","Jl. Imam Bonjol Kelurahan Pasar Teluk Kuantan, Kuantan Singingi, Riau",,Cpo (crude Palm Oil)
15132,KITA PRATAMA.CV,"Dusun Ngaglik, Blitar, Jawa Timur",0342 - 804455,Egg Tray
15133,"KITAGAWA INDUSTRIES INDONESIA, PT","Blok J-10 Kawasan Industri Mm 2100, Bekasi, Jawa Barat",021 - 898031,Komponen Electronik
15134,"KITM INDONESIA TEXTILE MILLS, PT","Sektor 1a Blok E1-e2 Kawasan Berikat Indotaise, Karawang, Jawa Barat",0264 - 351360,Textile
15135,"KITOMULTI, PT","Jl. Swadaya I/47, Bekasi, Jawa Barat",021 - 891326,Kommponen Alat Berat
15136,"KITOS JAYA,CV","Kp Ketos Rt. 001 Rw. 03 Kelurahan Sindangsari, Tangerang, Banten",,Sepatu
15137,"KITOSHINDO INTERNASIONAL BIOTECH, PT","Jl. Raya Jetis Perning Km. 43, Mojokerto, Jawa Timur",0321 - 765788,Kosmetik
15138,"KIWI WIKA NIAGA, PT","Jl. Kalijaten 101-102, Sidoarjo, Jawa Timur",,Lem
15139,KIYOKUNI HIGH PRECISION AUTOMOTIVE IND,"Jl. Surya Madya  Kav I-15 Blok D1 Surya Cipta, Karawang, Jawa Barat",,Suku Cadang Komponen Automotive
15140,"KIYOKUNI INDONESIA, PT","Plot 3 K Kawasan Indsutri Ejip Industrial Park, Bekasi, Jawa Barat",021 - 897072,Komponen Electronik
15141,"KIYOKUNI TECHNOLOGIES INDONESIA, PT","Jl. Surya Madya Kav 1-15 D Kawasan Ind Surya Cipta, Karawang, Jawa Barat",0267 - 440063,Parts Electronik
15142,"KIYORAKU BLOW MOLDING IND, PT","Jl. Maligi  Iii Lat F-9, Karawang, Jawa Barat",0264 - 890540,Plastik
15143,KJ TECH / PT YUDHO INDONESIA,"Jl. Jababeka Blok K2, Bandung, Jawa Barat",22 - 6023345,Karung Plastik
15144,KJS PT,"Jl. Cempaka 28 Ds Jatimulya, Bekasi, Jawa Barat",,Plastik
15145,"KJS, PT","Jl. Cempaka No. 28, Bekasi, Jawa Barat",,Barang Dari Plastik
15146,KJUB PUSPETASARI,"Jl. Stasiun No. 1 Besole, Klaten, Jawa Tengah",0272 - 551192,Konsentrat Pakan Sapi Potong  Perah
15147,KJUB PUSPETASARI,"Desa Curahtulis, Probolinggo, Jawa Timur",,Pakan Ternak
15148,"KK LEBEL, PT","Desa Cicau, Bekasi, Jawa Barat",,Pengolahan
15149,"KKI, PT","Jl. Tomang Raya No. 66, Jakarta Barat, DKI Jakarta",,Helm
15150,"KKS DREAM, PT","Jl. Kemiri Raya Rt 01 Rw 05, Tangerang Selatan, Banten",,Pakaian
15151,KKS PT ,"Kampung Mampir Barat, Bogor, Jawa Barat",,Pallet Kayu
15152,KLABASTEX,"Desa Arak-arak Rt. 01 Rw. 13, Jawa Tengah, Jawa Tengah",0271 -,Sablon Kain Rayon (untuk Daster)
15153,"KLALIN INDAH FURNITURE, CV","Jl. Petrochina No.88 Kel Malawili Dist Aimas, Sorong, Papua Barat",,Docking Dan Flooring
15154,"KLAMBIR JAYA , PT","Jl. Klambir 5 Dusun 5, Deli Serdang, Sumatera Utara",,Kertas Budaya
15155,"KLARINDO SERASI INKOPOL, PT","Jl. Raya Jakarta-bogor Km.49, Bogor, Jawa Barat",21 - 652190,Tas Dan Dompet
15156,"KLARINDO SERASI INKOPOL, PT","Jl. Raya Jakarta-bogor Km. 49, Bogor, Jawa Barat",,Tas Dan Dompet
15157,"KLASAMAN INDAH RAYA, PT","Jl. Gurami No.229, Sorong, Papua Barat",0951 - 323656,Jasa Reparasi/docking Kapal
15158,"KLASEMAN, PT","Jl. Raya Karangpranti Km. 17 Rt.03/05, Probolinggo, Jawa Timur",841519,Kayu Lapis
15159,KLATEN LANCAR,"Dusun Gilang Tegaron, Semarang, Jawa Tengah",0298 - 599267,Makaroni Goreng
15160,"KLIPINDO PLASTI PRATAMA, PT","Kemang Jl. Baru, Bogor, Jawa Barat",,Plastik
15161,"KLIYUN HYUN INDONESIA, PT","Jl. Telesonik No.1 Km. 08, Tangerang, Banten",021 - 590504,Pakaian Jadi
15162,"KLM, CV","Jl. Industri Cimareme No.3a, Bandung Barat, Jawa Barat",022 - 686649,Celana
15163,KLOBOT TEBU,"Jl. Jend Sudirman 25, Madiun, Jawa Timur",0351 - 462691,Rokok Klobot
15164,"KM TOWA INDONESIA, PT","Jl. Jababeka Xi B Blok K 10 A Kawasan Industri Jababeka I, Bekasi, Jawa Barat",021 - 898334,Engsel Pintu Mobil
15165,KM. SEJAHTERA,"Jl. Sungai Bakau Besar, Pontianak, Kalimantan Barat",,Minyak Kelapa
15166,"KMB, PT","Kp Soka Rt. 004 Rw. 04, Tangerang, Banten",,Jasa Oven Kayu
15167,"KMC INDONESIA, PT","Jl. Dermaga Muara Angke No. 2, Jakarta Utara, DKI Jakarta",,Ikan Beku
15168,"KMK GLOBAL SPORT, PT","Jl. Raya Serang Km. 8, Tangerang, Banten",021 - 594008,Sepatu
15169,"KMK PLASTICS INDONESIA, PT","Jl. Industri Jababeka Xi Blok G-10 Kawasan Jababeka Ii, Bekasi, Jawa Barat",021 - 893407,Plastics
15170,"KMK PRECISION  INDONESIA, PT","Jl. Jababeka Xii Blok W-14 Kawasan Industri Jababeka I, Bekasi, Jawa Barat",021 - 843731,Injection &sparepart Molding
15171,"KML, PT","Kawasan Jababeka 1 Blok 1, Bekasi, Jawa Barat",,Olahan Hasil Laut
15172,KMV CV,"Kawasan Industri Candi Biok 18 No 88, Semarang, Jawa Tengah",,Permen
15173,KN BAROKAH,"Dukuh Matalan, Rembang, Jawa Tengah",,Ikan Kering
15174,"KNALPOT MOTOR ""RAHMAT HIDAYAT""","Jl. Aw Sumarmo No. 139, Purbalingga, Jawa Tengah",,Knalpot Motor
15175,KNALPOT MOTOR MMS KAJINE,"Jl. Dus Sumarmo Rt. 01 Rw. 03, Purbalingga, Jawa Tengah",,Knalpot Motor
15176,KNALPOT MOTOR SUPRIANTO,"Kembaran Kulon Rt. 04 Rw. 01, Purbalingga, Jawa Tengah",,Knalpot Motor
15177,"KNAUF GYSUM INDONESIA, PT","Jl. A Yani No. 84, Karawang, Jawa Barat",0264 - 312678,Papan Gypsum
15178,"KNH GARMINDO JAYA, PT","Jl. Bintang Mas No. 10, Bogor, Jawa Barat",021 - 879157,Jasa Pakaian
15179,"KNH GARMINDO JAYA, PT","Nanggewer, Bogor, Jawa Barat",,Pakaian Jadi
15180,"KNH PUTRI MENTARI, PT","Jl. Raya Narogong Km. 9 Yayasan Nurul Huda No. 7, Bekasi, Jawa Barat",,Boneka Bahan Bulu
15181,"KNITTING SANJAYA, PT","Jl. Jembatan Besi Vii No.14 A, Jakarta Barat, DKI Jakarta",021 - 631233,Kain Tc Polyester
15182,KNK SURYA ANUGRAH,"Sukamenak, Bandung, Jawa Barat",,Pakaian Jadi
15183,"KO PAI KKUAN/MITRA SEJATI MENARA II, P","Jl. Raya Parakan Muncang Km. I No. 80, Sumedang, Jawa Barat",022 - 791276,Rajut Maklon
15184,KOBA WANGI/GALUNG ART,"Puncak Mulya Rt. 04 Rw. 11, Bandung, Jawa Barat",,Teh Hijau
15185,"KOBAR INDONESIA, PT","Jl. Penggilingan Komplek Pik Blok G, Jakarta Timur, DKI Jakarta",,Pisau Stanleis Steel
15186,"KOBAR INDONESIA, PT","Blok G 19, Jakarta Timur, DKI Jakarta",,Pisau Blender
15187,KOBAYASHI AUTO PARTS INDONESIA,"Kawasan Industri Delta Silicone I Blok L-1/9jl. Meranti I, Bekasi, Jawa Barat",,Komponen Kendaraan Roda Dua
15188,KOBAYASHI AUTO PARTS INDONESIA,"Jl. Jababeka Xii Blok W No. 8, Bekasi, Jawa Barat",,Mesin Sepeda Motor
15189,"KOBE GLOBAL, PT","Kp. Cibeureum Rt. 03 Rw. 11, Bandung, Jawa Barat",,Konponen Karet/alat Kesehatan
15190,"KOBEKS, PT","Jl. Raya Ngabul Batealit  Km. 4, Jepara, Jawa Tengah",0291 - 596031,Mebel
15191,"KOBER, CV","Jl. K.l Yos Sudarso Km. 10,8, Medan, Sumatera Utara",061 - 685007,Alat-alat Rumah Tangga Dari Plastik
15192,"KOBIN KERAMIK INDUSTRI - NCP, PT","Ngoro Industri Persada Blok D No. 5-6, Mojokerto, Jawa Timur",0321 - 681816,Kobin Keramik
15193,"KOCHEM INDONESIA, PT","Dukuh Rt. 15/05 Bulurejo, Jawa Tengah, Jawa Tengah",,Hanger Baju
15194,"KODAI INDONESIA , PT","Jl. Kenari Ii, Bekasi, Jawa Barat",,Sukucadang Motor
15195,KODAI INDONESIA PT,"Jl. Kenari Ii Kav 61a No. 009, Bekasi, Jawa Barat",,Sleeve
15196,"KODJA BAHARI , PT","Jl. Perdagangan No.136, Sabang, Nanggroe Aceh Darussalam",065 - 212002,Jasa Reparasi Kapal
15197,"KODJA BAHARI, PT","Jl. Asahan No. 3 (pelabuhan Tanjung Mas), Semarang, Jawa Tengah",024 - 356042,Reparasi Kapal
15198,"KODJA TERRAMARIN < B U M N >, PT","Kosong, Karawang, Jawa Barat",,Kayu
15199,KODOK SWIKE,"Blok Wanakersa 02/12, Cirebon, Jawa Barat",,Daging Kodok Swike
15200,"KOEIX TRADING ,CO,LTD, PT","Jl. Jababeka Vi Blok P2d Kawasan Industri Jababeka I, Bekasi, Jawa Barat",021 - 898302,Komponen Dari Plastik
15201,"KOESOMA NANDAPUTRA, PT","Jl. Raya Karang Dowo Km. 3, Ds. Tandenm Kel. Jatimulyo, Klaten, Jawa Tengah",,Grey Fabrics
15202,KOESOMA TEXTILE PERTENUNAN,"Desa Pencil, Bendo, Klaten, Jawa Tengah",,Blankets
15203,KOHAR MUHYIDIN PERTENUNAN,"Jl. Sukamanah No.313, Majalaya, Bandung, Jawa Barat",,Blacu Fabrics
15204,"KOHNO INDONESIA, PT","Plot 4k-2 Kawasan Industri Ejip Industrial Park, Bekasi, Jawa Barat",021 -,Kemasan Plastik
15205,"KOHWA PRECISION INDONESIA, PT","Jl. Maligi Viii Lot S-2n++ Kawasan Industri Kiic, Karawang, Jawa Barat",,Spare Part Motor
15206,"KOHWA PRECISIONINDONESIA, PT","Jl. Maligi Vill Lots 2 Kiic, Karawang, Jawa Barat",,Spare Part
15207,"KOHYAMA BALI BARUNA, PT","Jl. Ikan Tuna Iv No. 1 Pelabuhan Benoa, Denpasar, Bali",0361 - 728678,Ikan Fillet
15208,"KOILINDO INDAH SEJAHTERA, PT","Gajah Mada 8 , Jl, Sidoarjo, Jawa Timur",031 - 788209,Tepung Batok Kelapa
15209,"KOIN BAJU, PT","Jl. Cimelati Km. 1, Sukabumi, Jawa Barat",0266 - 731714,Jasa Pakaian
15210,"KOIN MULTI STAR, PT","Cijunti, Purwakarta, Jawa Barat",,Busa Untuk Bantal
15211,"KOIN SUKSES MAKMUR, PT","Dusun Krajan Desa Klero, Semarang, Jawa Tengah",0298 - 610019,Pakaian Jadi
15212,"KOIN WORD METAL, PT","Jl. Waas No. 60, Bandung, Jawa Barat",,Assesories Dari Metal
15213,"KOJIN INDONESIA, PT","Blok Ll 8-1 Kawasan Industri Mm 2100, Bekasi, Jawa Barat",021 - 899816,Moulding Plastik
15214,KOKEN INDONESIA PT,"Dusun Purbasari Interchange Tol Dawuan Tengah, Karawang, Jawa Barat",,Pakaian Jadi
15215,"KOKI INDOCAN, PT","Jl. Pahlawan Tawi No. 1 A Rt. 1/1, Pasuruan, Jawa Timur",0343 - 633016,Makanan Kaleng
15216,"KOKINDO TROPICAL SPRINGS, PT","Jl. Sungai Selan Km.14, Bangka Tengah, Kepulauan Bangka Belitung",0717 - 438388,Air Minum Dalam Kemasan
15217,"KOKINDO TROPICAL SPRINGS, PT","Jl. Raya Cilodong No. 89, Depok, Jawa Barat",,Air Minum Dalam Kemasan
-,-,-,-,-
15219,KOKO BERSATU PLASTIK,"Jl. Bulak Campat Barat.15, Surabaya, Jawa Timur",031 - 389230,Plastik Housewere
15220,"KOKO METAL INDUSTRI, PT","Jl. Raya Sawo Cangkring, Sidoarjo, Jawa Timur",031 - 883010,Komponen/suku Cadang Mobil
15221,KOKOH BANGUN PERSADA PT,"Jl. Raya Sirkuit Sentul No. 35 Leuwinutug, Bogor, Jawa Barat",,Golf Car
15222,KOKOH BERSATU UD,"Jl. Bulak Cumpat Barat 15, Surabaya, Jawa Timur",31 - 38922306,Rantang Plastik
