no,nama file,tahun,tautan
69,Daftar Arsip Foto Rijkvoorlichtings Dienst (RVD) Wilayah Kalimantan Timur 1947 - 1949,1947,https://anri.go.id//download/daftar-arsip-foto-rijkvoorlichtings-dienst-rvd-wilayah-kalimantan-timur-1947-1949-1587011392
70,Daftar Arsip Foto Rijks Voorlichtings Dienst RVD DIY 1947-1949 (Liputan Peristiwa di Wilayah Yogyakarta),1947,https://anri.go.id//download/daftar-arsip-foto-rijks-voorlichtings-dienst-rvd-diy-19471949-liputan-peristiwa-di-wilayah-yogyakarta-1586221966
71,Daftar Arsip Foto Rijks Voorlichtings Dienst RVD Batavia 1947-1949,1947,https://anri.go.id//download/daftar-arsip-foto-rijks-voorlichtings-dienst-rvd-batavia-19471949-1586221913
72,Daftar Arsip Foto Kementerian Penerangan Wilayah Aceh 1947-1965,1947,https://anri.go.id//download/daftar-arsip-foto-kementerian-penerangan-wilayah-aceh-19471965-1586220534
73,Daftar Arsip Foto IPPHOS 1945-1950,1945,https://anri.go.id//download/daftar-arsip-foto-ipphos-19451950-1586220441
74,Daftar Arsip Microfische Cornelll Libary Colection Seri Indonesian Inprints 1942-1945,1942,https://anri.go.id//download/daftar-arsip-microfische-cornelll-libary-colection-seri-indonesian-inprints-19421945-1587101677
75,Daftar Arsip Pamflet & Poster Kementerian Penerangan 1942-1949,1942,https://anri.go.id//download/daftar-arsip-pamflet-poster-kementerian-penerangan-19421949-1586222028
76,Daftar Arsip Tekstual Medica (1714-1935),1935,https://anri.go.id//download/daftar-arsip-tekstual-medica-17141935-1633328335
77,"Daftar Arsip Kearsitekturan PT Aneka Tambang (Persero) Tbk 1931, 1942-2008",1931,https://anri.go.id//download/daftar-arsip-kearsitekturan-pt-aneka-tambang-persero-tbk-1931-19422008-1586219862
78,Daftar Arsip Foto KIT Sumatera Utara (1930),1930,https://anri.go.id//download/daftar-arsip-foto-kit-sumatera-utara-1930-1633327988
79,Daftar Arsip Foto KIT Sulawesi (1930),1930,https://anri.go.id//download/daftar-arsip-foto-kit-sulawesi-1930-1633327959
